iter	Passed	Remaining
0	0	57
1	1	51
2	1	49
3	1	47
4	2	46
5	2	45
6	3	44
7	3	43
8	4	42
9	4	41
10	5	41
11	5	41
12	6	40
13	6	39
14	6	39
15	7	38
16	7	38
17	8	37
18	8	36
19	9	36
20	9	36
21	10	35
22	10	34
23	10	34
24	11	33
25	11	33
26	12	32
27	12	32
28	13	31
29	13	31
30	13	31
31	14	30
32	14	30
33	15	29
34	15	29
35	16	28
36	16	28
37	16	27
38	17	27
39	17	26
40	18	26
41	18	25
42	19	25
43	19	24
44	19	24
45	20	23
46	20	23
47	21	23
48	21	22
49	22	22
50	22	21
51	22	21
52	23	20
53	23	20
54	24	19
55	24	19
56	24	18
57	25	18
58	25	17
59	26	17
60	26	17
61	27	16
62	27	16
63	27	15
64	28	15
65	28	14
66	29	14
67	29	13
68	30	13
69	30	13
70	30	12
71	31	12
72	31	11
73	32	11
74	32	10
75	32	10
76	33	9
77	33	9
78	34	9
79	34	8
80	34	8
81	35	7
82	35	7
83	36	6
84	36	6
85	37	6
86	37	5
87	37	5
88	38	4
89	38	4
90	39	3
91	39	3
92	40	3
93	40	2
94	41	2
95	41	1
96	41	1
97	42	0
98	42	0
99	43	0
